GAGEID,COMID,svc_sd,xgb_sd,NUSVR_alpha,NuSVR_beta,GP_alpha,GP_beta,Jan_NN,Feb_NN,March_NN,April_NN,May_NN,June_NN,July_NN,Aug_NN,Sept_NN,Oct_NN,Nov_NN,Dec_NN,NN_td,Jan_XT,Feb_XT,March_XT,April_XT,May_XT,June_XT,July_XT,Aug_XT,Sept_XT,Oct_XT,Nov_XT,Dec_XT,XT_td,Jan_RF,Feb_RF,March_RF,April_RF,May_RF,June_RF,July_RF,Aug_RF,Sept_RF,Oct_RF,Nov_RF,Dec_RF,RF_td
5866120,57002918,1,1,1.512488045,0.299732846,1.512488045,0.299732846,0,1,1,1,1,1,1,0,0,0,0,0,6,1,1,1,1,1,1,1,0,0,0,0,1,7,1,1,1,1,1,1,0,0,0,0,0,1,6
5304140,56154478,2,2,0.044997668,0.112279349,0.044997668,0.112279349,1,1,1,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,3
5076000,71044540,2,2,0.731847368,0.093680174,0.731847368,0.093680174,0,0,0,0,0,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,1,1,1,1,1,4,1,1,0,1,0,0,0,1,1,1,1,1,7
4268000,72051487,2,2,5.983196257,0.089342611,5.983196257,0.089342611,0,0,0,1,1,1,1,1,1,0,0,0,6,0,0,0,0,1,1,1,1,1,0,0,0,5,0,0,0,0,1,1,1,1,1,0,0,0,5
4152601,77013347,1,1,0.087906594,0.105557601,0.087906594,0.105557601,1,0,0,0,0,0,1,1,1,1,1,1,6,1,1,0,0,1,1,1,1,1,1,1,1,9,1,1,0,0,1,1,1,1,1,1,1,1,9
4136500,72051252,1,1,1.216955219,0.028282554,1.216955219,0.028282554,0,0,0,0,1,0,0,1,1,1,1,0,5,1,1,1,1,1,0,0,0,1,1,1,1,8,1,1,1,1,1,0,0,0,1,1,1,1,8
4116351,78028215,3,3,0.482992329,0.126822821,0.482992329,0.126822821,1,0,0,1,1,1,1,1,1,1,1,0,9,1,0,0,1,1,1,1,1,1,1,1,1,9,0,0,0,1,1,1,1,1,1,1,1,1,8
3571000,74061494,2,2,4.293602776,0.069374164,4.293602776,0.069374164,1,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,0,0,0,1,1,1,1,1,1,6,1,0,0,0,0,0,1,1,1,1,1,1,6
2369600,73017978,2,2,4.269931971,0.05432478,4.269931971,0.05432478,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,1,1,1,1,3
1160600,12096284,1,1,0.189000016,0.319208349,0.189000016,0.319208349,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,0,0,0,4
1159403,12080921,1,1,0.016038175,0.202520726,0.016038175,0.202520726,1,1,1,1,1,0,0,0,0,0,0,0,5,0,0,1,1,1,1,1,0,0,0,0,0,5,0,0,1,1,1,1,1,0,0,0,0,0,5
1159333,12087546,1,1,0.136380436,0.228357255,0.136380436,0.228357255,0,1,1,1,1,0,0,0,0,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,0,4,0,1,1,1,1,1,0,0,0,0,0,0,5
1159302,12086652,2,2,0.140938721,0.32641323,0.140938721,0.32641323,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0,0,0,0,0,4,0,1,1,1,1,1,0,0,0,0,0,0,5
14187500,78022154,2,2,14.54354084,0.03764851,14.54354084,0.03764851,1,0,0,0,0,0,1,1,1,1,1,1,6,1,0,0,0,0,1,1,1,1,1,1,1,7,1,0,0,0,0,1,1,1,1,1,1,1,7
8385630,75001894,0,0,0.045716068,0.137352122,0.045716068,0.137352122,0,0,0,0,0,0,1,1,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,3
8148500,75012267,1,1,0.133138633,0.148869814,0.133138633,0.148869814,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,0,1,1,1,1,0,0,0,4
7372050,74070136,2,2,2.128933879,0.060582715,2.128933879,0.060582715,1,1,0,0,0,0,0,1,1,1,1,1,6,1,0,0,0,0,0,1,1,1,1,1,1,6,1,0,0,0,0,0,1,1,1,1,1,1,6
7362000,74067328,2,2,3.313756163,0.059864601,3.313756163,0.059864601,1,1,0,0,0,0,0,1,1,1,1,1,6,1,1,0,0,0,0,1,1,1,1,1,1,7,1,1,0,0,0,0,0,1,1,1,1,1,6
7308200,74061416,1,0,0.094631098,0.249472781,0.094631098,0.249472781,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,0,0,1,1,1,1,1,0,5,0,0,0,0,0,0,0,1,1,1,1,0,4
7227000,74061430,0,0,0.061850121,0.145301857,0.061850121,0.145301857,0,0,0,0,0,0,1,1,1,0,0,0,3,1,0,0,0,0,0,0,1,1,0,1,0,4,1,1,0,0,0,0,0,0,0,0,1,1,3
7172000,74054143,2,2,1.665676734,0.160547211,1.665676734,0.160547211,0,0,0,0,1,0,1,1,1,1,1,1,6,0,0,0,0,0,0,1,1,1,1,1,0,5,0,0,0,0,0,1,1,1,1,1,1,0,6
7026040,74055027,2,3,3.306760986,0.062538378,3.306760986,0.062538378,1,0,0,0,0,0,1,1,1,1,1,1,6,1,0,0,0,0,0,1,1,1,1,1,1,6,0,0,0,0,0,0,1,1,1,1,1,1,5
6799500,74023597,2,2,0.604472476,0.046848052,0.604472476,0.046848052,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,3
6130500,74004966,2,3,0.066229542,0.15656686,0.066229542,0.15656686,0,0,0,0,1,1,1,1,1,1,1,0,7,0,0,0,0,1,1,1,1,1,1,1,0,7,0,0,0,0,1,1,1,1,1,1,1,0,7
6120500,74005216,2,2,0.176148355,0.142132539,0.176148355,0.142132539,1,0,0,0,0,1,1,1,1,1,1,1,7,1,0,0,0,1,1,1,1,1,1,1,1,8,1,0,0,0,1,1,1,1,1,1,1,1,8
